Locus	GCF_001999065	GCF_002214105	GCF_016775745	GCF_018735785	GCF_002214005	GCF_014843335	GCF_003999665	GCF_003390475	GCF_014304775	GCF_001483405	GCF_002213965	GCF_001483425	GCF_018968745	GCF_010442835	GCF_002043045	GCF_001027125	GCF_018336735	GCF_013122235	GCF_002848485	GCF_004771195	GCF_000307065	GCF_002105635	GCF_009730635	GCF_000513595	GCF_000306985	GCF_900231485	GCF_000568475	GCF_013177375	GCF_018336775	GCF_018336655	GCF_002213785	GCF_001047715	GCF_000306905	GCF_900637785	GCF_000307005	GCF_001596775	GCF_001454925	GCF_013177415	GCF_001027065	GCF_000307045	GCF_002213985	GCF_001551855	GCF_000026705	GCF_015583955	GCF_001548635	GCF_002848505	GCF_001454865	GCF_001005985	GCF_008807975	GCF_001188655	GCF_900637775	GCF_018966805	GCF_001998985	GCF_018336755	GCF_002213565	GCF_008807875	GCF_002213585	GCF_003043895	GCF_001952755	GCF_001027085	GCF_008807935	GCF_014983945	GCF_002213765	GCF_018336695	GCF_004101665	GCF_003031955	GCF_002843525	GCF_900275645	GCF_000438645	GCF_003144075	GCF_000258905	GCF_014304695	GCF_018336715	GCF_006364035	GCF_000168595	GCF_002285835	GCF_001889645	GCF_009648595	GCF_002213885	GCF_003812545	GCF_018604305	GCF_018604265	GCF_002831485	GCF_001454845	GCF_004763665	GCF_002213645	GCF_018336675	GCF_003433415	GCF_002116675	GCF_003409075	GCF_001454885	GCF_000195395	GCF_000438725	GCF_018336635	GCF_016802645	GCF_000577745	GCF_001999105	GCF_001999025	GCF_009664755	GCF_000746625	GCF_014843315	GCF_016728025	GCF_000513635	GCF_002214085	GCF_000582845	GCF_002214065	GCF_016775765	GCF_001998945	GCF_002213685	GCF_013389395	GCF_905219375	GCF_000950775	GCF_001548585	GCF_016767835	GCF_002213545	GCF_009648655	GCF_900187225	GCF_018604205	GCF_003032055	GCF_016757715	GCF_002105675	GCF_000438745	GCF_905219385	GCF_002213945	GCF_000307615	GCF_003900515	GCF_001513695	GCF_003030405	GCF_009866905	GCF_002213865	GCF_014987905	GCF_002213805	GCF_009648695	GCF_002214125	GCF_004771175	GCF_002213505	GCF_002557815	GCF_004142705	GCF_018966765	GCF_001188045	GCF_001999005	GCF_008807955	GCF_003031935	GCF_002101275	GCF_001913195	GCF_001999165	GCF_014843295	GCF_016775725	GCF_001999085	GCF_018604325	GCF_002220325	GCF_002105615	GCF_002105715	GCF_009648635	GCF_000513675	GCF_002105655	GCF_002213845	GCF_000613085	GCF_000513695	GCF_001889585	GCF_000022925	GCF_000513615	GCF_000195435	GCF_002214145	GCF_000438625	GCF_000209755	GCF_014304675	GCF_000568935	GCF_000808055	GCF_000168635	GCF_019332005	GCF_000318055	GCF_001999145	GCF_001027245	GCF_900231475	GCF_002848425	GCF_009664735	GCF_000093125	GCF_000307085	GCF_001027165	GCF_018336795	GCF_002213605	GCF_003722375	GCF_018735945	GCF_000438685	GCF_000438705	GCF_002213705	GCF_015689035	GCF_001644625	GCF_001998915	GCF_001027205	GCF_018310555	GCF_018106265	GCF_014983645	GCF_002285655	GCF_002848465	GCF_013177395	GCF_014334275	GCF_002105695	GCF_008807915	GCF_018736025	GCF_000681515	GCF_002214045	GCF_000021185	GCF_014843275	GCF_009866885	GCF_000197755	GCF_000513655	GCF_001952795	GCF_009664775	GCF_000168575	GCF_002213745	GCF_002208215	GCF_009730615	GCF_000438585	GCF_018604185	GCF_002557735	GCF_008807895	GCF_000438665	GCF_000168695	GCF_018604285	GCF_013137935	GCF_000218305	GCF_003032075	GCF_001999125	GCF_003030165	GCF_002025165	GCF_000438605	GCF_000800335	GCF_014983505	GCF_002213905	GCF_003031975	GCF_002969195	GCF_002213825	GCF_006364655	GCF_018604245	GCF_001908335	GCF_001483445	GCF_002213665	GCF_001188025	GCF_000008285	GCF_000196035	GCF_018604225	GCF_009648675	GCF_009648615	GCF_002213925	GCF_018672415	GCF_000600015	GCF_001999045	GCF_000210815	GCF_002213625	GCF_003812565	GCF_003031915	GCF_001952735	GCF_010443035	GCF_002213725	GCF_004768685	GCF_003031895	GCF_902385845	GCF_001952775	GCF_001005925	B33116
lmo1417	12	25	12	58	7	25	11	2	3	11	51	20	168	3	25	27	3	4	1	28	10	36	20	6	17	4	3	14	2	15	1	64	4	3	1	3	2	14	11	3	7	3	4	6	25	1	10	30	658	5	0	63	34	2	6	218	6	1	6	3	67	6	1	3	14	28	1	12	9	3	4	3	12	121	11	25	2	64	12	94	6	20	1	12	3	6	6	121	427	12	10	2	14	6	25	20	25	6	15	6	130	19	6	25	3	7	12	25	6	1	14	4	25	32	6	64	3	20	86	11	70	14	14	12	12	3	6	2	2	9	6	30	25	3	32	51	1	8	4	35	15	58	28	194	6	14	3	17	11	15	32	11	150	64	6	20	9	6	6	2	6	7	14	3	13	5	3	12	14	15	11	12	25	3	20	1	11	6	4	25	3	6	12	20	8	14	6	230	1	30	3	1	12	14	25	1	14	14	20	658	12	14	6	5	8	1	8	6	6	1	1	1	25	20	8	14	1	47	7	3	28	14	5	1	36	20	2	16	12	2	6	11	1	30	2	15	25	6	6	14	12	1	20	64	64	12	1	12	2	1	6	10	397	6	5	6	11	2	25	6	25	121
lmo1419	6	2	6	2	6	2	9	2	3	5	2	14	115	3	2	9	3	25	1	1	8	1	9	5	11	2	3	10	2	9	1	2	2	3	1	3	2	10	1	3	6	3	2	5	2	1	8	16	487	4	0	146	2	2	5	54	5	1	5	3	2	5	1	3	10	9	1	6	7	3	2	3	6	2	9	2	2	2	6	1	5	14	1	6	3	5	5	2	95	6	8	2	10	5	2	1	2	5	9	5	90	13	5	2	3	6	6	2	5	1	10	2	2	19	5	2	3	14	2	9	44	10	10	6	6	3	5	2	2	7	5	16	2	3	19	2	1	6	2	170	9	2	1	6	5	10	3	18	9	9	19	9	167	2	5	14	7	5	5	2	5	6	10	3	2	4	3	6	10	9	9	6	2	3	9	1	9	5	2	2	3	5	6	14	6	10	5	163	1	16	3	1	6	10	2	1	10	10	1	487	6	10	5	4	6	1	6	5	5	1	1	1	2	9	6	10	1	28	6	3	1	10	4	1	1	1	2	9	6	2	5	9	1	16	2	9	2	5	5	10	6	1	1	2	2	6	9	6	2	1	5	8	2	5	4	5	1	2	2	5	2	2
lmo1420	4	8	4	4	4	2	3	2	3	3	2	12	110	3	2	3	3	21	3	3	7	14	3	3	3	4	3	2	2	9	3	2	0	3	3	3	2	2	23	3	4	3	4	3	8	3	7	14	435	5	0	34	2	2	3	52	3	3	3	3	8	3	3	3	2	9	3	4	6	3	4	3	4	83	3	8	2	2	4	44	3	12	3	4	3	3	3	83	257	4	7	2	2	3	2	17	8	3	9	3	91	3	3	8	3	4	4	2	3	16	2	4	8	2	3	2	3	12	2	3	43	2	2	4	4	3	3	2	2	6	3	14	8	3	2	2	3	2	4	4	9	4	3	2	3	2	3	3	30	9	2	3	3	2	3	12	6	3	3	2	3	4	2	3	8	5	3	4	2	9	3	4	8	3	3	3	3	3	4	8	3	3	4	12	2	2	3	152	16	14	3	3	4	2	8	3	2	2	3	435	4	2	3	5	2	1	2	3	3	3	3	3	8	3	2	2	3	3	4	3	3	2	5	3	14	17	2	3	4	2	3	3	3	14	2	9	8	3	3	2	4	1	17	2	2	4	3	4	2	3	3	7	2	3	5	3	11	2	8	3	8	83
lmo1421	2	10	2	33	2	20	9	2	3	215	10	3	95	3	20	9	3	10	1	17	8	13	16	1	3	4	3	10	2	11	1	2	6	3	1	3	2	10	26	3	2	3	4	1	10	1	8	18	134	5	0	37	10	2	1	136	1	1	1	3	33	1	1	3	10	11	1	2	7	3	4	3	2	145	9	10	2	2	2	30	1	3	1	2	3	1	1	145	9	2	8	2	10	1	20	3	10	1	11	1	77	3	1	10	3	2	2	20	1	18	10	4	10	10	1	2	3	3	2	1	43	10	10	2	2	3	1	2	2	7	1	18	10	3	10	10	1	6	4	2	11	33	17	20	1	10	3	3	11	11	10	9	11	2	1	3	7	1	1	2	1	2	10	3	10	5	3	2	10	11	1	2	10	3	16	1	9	1	4	10	3	1	2	3	6	10	1	57	18	18	3	1	2	10	10	1	10	10	24	134	2	10	1	5	6	1	6	1	1	1	1	1	10	16	6	10	1	1	2	3	17	10	5	1	13	3	2	9	2	2	1	3	1	18	2	11	10	1	1	10	2	1	3	2	2	2	1	2	2	1	1	8	2	1	5	1	13	2	10	1	10	145
lmo1422	4	143	4	44	4	8	10	2	3	113	11	296	137	3	8	3	3	34	1	12	9	23	19	6	3	4	3	11	2	12	1	49	8	3	1	3	2	11	38	3	4	3	4	6	33	1	9	19	488	5	0	175	11	2	6	66	6	1	6	3	44	6	1	3	11	12	1	4	7	3	4	3	4	63	10	4	2	49	4	17	6	16	1	4	3	6	6	63	384	4	9	2	11	6	8	17	4	6	12	6	108	3	6	143	3	4	4	8	6	19	11	4	4	2	6	49	3	16	2	17	57	11	11	4	4	3	6	2	2	7	6	19	4	3	2	11	1	8	4	2	12	44	12	8	6	11	3	3	23	12	2	22	12	49	6	16	7	6	6	2	6	4	11	3	4	5	3	4	11	12	17	4	4	3	19	1	10	6	4	4	3	6	4	16	13	11	6	78	19	19	3	1	4	11	4	1	11	11	31	488	4	11	6	5	8	1	0	6	6	1	1	1	4	19	8	11	1	6	4	3	12	11	5	1	23	17	2	10	4	2	6	38	1	19	2	12	4	6	6	11	4	1	17	49	49	4	17	4	2	1	6	9	2	6	5	6	15	2	143	6	4	63
lmo1423	2	122	2	2	2	22	11	2	3	14	12	16	128	3	22	43	3	2	1	13	10	14	5	5	14	2	3	12	2	13	1	12	2	3	1	3	2	12	36	3	2	3	6	5	2	1	10	19	491	4	0	155	12	2	5	93	5	1	5	3	2	5	1	3	12	13	1	2	8	3	2	3	2	2	11	2	2	12	2	14	5	16	1	2	3	5	5	2	311	2	10	7	12	5	22	13	2	5	13	5	100	14	5	122	3	2	2	22	5	1	12	2	2	12	5	12	3	16	2	17	5	12	12	2	2	3	5	2	2	8	5	23	2	3	12	12	1	2	45	12	13	2	13	22	5	12	3	14	17	13	12	11	13	12	5	16	8	5	5	2	5	2	12	3	2	4	3	2	12	13	17	2	2	3	5	1	11	5	2	2	3	5	2	16	2	12	5	165	1	19	3	1	2	12	2	1	12	12	28	491	2	12	5	4	9	1	2	5	5	1	1	1	2	5	2	12	1	14	2	3	13	12	4	1	14	13	2	11	2	2	5	11	1	23	2	13	2	5	5	12	2	1	13	12	12	2	17	2	2	1	5	10	2	5	4	5	14	2	122	5	2	2
lmo1424	6	29	6	34	6	6	1	6	1	13	7	1	134	1	6	12	1	30	1	1	9	1	5	5	1	29	1	156	6	1	1	6	7	1	1	1	6	156	1	1	6	1	29	5	29	1	9	1	514	4	0	166	156	6	5	174	5	1	5	1	34	5	1	1	156	1	1	6	8	1	29	1	6	156	1	113	6	6	6	46	5	1	1	6	1	5	5	156	314	6	9	6	156	5	6	1	29	5	1	5	102	12	5	29	1	6	6	6	5	1	156	29	113	18	5	6	1	1	6	15	1	156	156	6	6	1	5	6	6	8	5	1	29	1	18	7	1	7	29	20	1	34	1	6	5	156	1	1	5	1	18	1	1	6	5	1	8	5	5	0	5	6	0	1	29	4	1	6	156	1	15	6	113	1	5	1	1	5	29	29	1	5	6	1	7	156	5	185	1	1	1	1	6	156	113	1	156	156	1	514	6	156	5	4	7	1	7	5	5	1	1	1	113	5	7	156	1	1	6	1	1	156	4	1	1	1	6	1	6	6	5	26	1	1	6	1	29	5	5	156	6	1	1	6	6	6	15	6	6	1	5	9	6	5	4	5	13	6	29	5	29	156
lmo1425	6	2	6	14	6	2	1	2	1	1	7	1	96	1	2	1	1	14	1	13	9	10	12	5	10	3	1	3	2	1	1	2	7	1	1	1	2	3	1	1	6	1	3	5	2	1	9	15	103	4	0	31	3	2	5	45	5	1	5	1	14	5	1	1	3	1	1	6	8	1	3	1	6	3	1	2	2	2	6	37	5	1	1	6	1	5	5	3	1	6	9	2	3	5	2	1	2	5	1	5	78	1	5	2	1	6	6	2	5	1	3	3	2	16	5	2	1	1	2	1	36	3	3	6	6	1	5	2	2	8	5	15	2	1	16	7	1	7	3	138	1	14	13	2	5	3	1	10	30	1	16	1	1	2	5	1	8	5	5	2	5	6	3	1	2	4	1	6	3	1	1	6	2	1	12	1	1	5	3	2	1	5	6	1	7	3	5	127	1	15	1	1	6	3	2	1	3	3	1	103	6	3	5	4	7	1	7	5	5	1	1	1	2	12	7	3	1	23	6	1	13	3	4	1	10	1	2	1	6	79	5	1	1	15	2	1	2	5	5	3	6	1	1	2	2	6	1	6	2	1	5	9	2	5	4	5	1	2	2	5	2	3
lmo1426	7	10	7	7	7	21	1	2	3	1	8	1	124	3	21	14	3	27	1	17	9	20	1	5	12	6	3	11	2	1	1	41	8	3	1	3	2	11	15	3	7	3	6	5	10	1	9	19	107	4	0	150	11	2	5	62	5	1	5	3	49	5	1	3	11	37	1	7	1	3	0	3	7	11	1	10	2	41	7	53	5	1	1	7	3	5	5	11	1	7	9	2	11	5	21	3	10	5	1	5	100	14	5	10	3	7	7	21	5	1	11	6	10	7	5	41	3	1	2	1	1	11	11	7	7	3	5	2	2	1	5	19	10	3	7	8	1	8	6	22	1	7	17	21	5	11	3	20	1	1	7	1	3	41	5	1	1	5	5	2	5	7	11	3	10	4	3	7	11	1	1	7	10	3	1	1	1	5	6	10	3	5	7	1	8	11	5	166	1	19	3	1	7	11	10	1	11	11	1	107	7	11	5	4	8	1	8	5	5	1	1	1	10	1	8	211	1	1	7	3	17	11	4	1	20	3	2	1	7	2	5	1	1	19	2	1	10	5	5	11	7	1	3	41	41	7	1	7	2	1	5	9	2	5	4	5	15	2	10	5	10	11
lmo1427	6	124	6	6	6	22	9	2	1	1	7	1	117	1	22	14	1	30	1	17	8	1	9	5	1	3	1	11	2	12	1	40	7	1	1	1	2	11	15	1	6	1	3	5	10	1	8	19	103	4	0	141	10	2	5	61	5	1	5	1	23	5	1	1	11	17	1	6	1	1	3	1	6	93	9	10	2	40	6	52	5	1	1	6	1	5	5	93	102	6	8	2	11	5	22	21	10	5	12	5	100	14	5	124	1	6	6	22	5	1	11	3	10	6	5	40	1	1	2	16	1	11	11	6	6	1	5	2	2	1	5	19	10	1	6	7	1	7	3	23	12	6	17	22	5	11	1	1	16	12	6	9	29	40	5	1	1	5	5	2	5	6	11	1	10	4	1	6	11	12	16	6	10	1	9	1	9	5	3	10	1	5	6	1	7	11	5	8	1	19	1	1	6	11	10	1	11	11	29	103	6	11	5	4	7	1	7	5	5	1	1	1	10	9	7	11	1	1	6	1	17	11	4	1	1	21	2	9	6	2	5	9	1	19	2	12	10	5	5	11	6	1	21	40	40	6	16	6	2	1	5	110	2	5	4	5	15	2	124	5	10	93
lmo1428	2	2	2	2	2	6	8	2	3	1	6	13	121	3	6	1	3	6	1	17	7	1	16	5	1	2	3	9	2	10	1	30	6	3	1	3	2	9	12	3	2	3	2	5	2	1	7	1	100	4	0	144	2	2	5	51	5	1	5	3	2	5	1	3	6	17	1	2	1	3	2	3	2	156	8	2	2	30	2	44	5	13	1	2	3	5	5	156	300	2	7	2	9	5	6	21	2	5	10	5	91	1	5	2	3	2	2	6	5	1	6	2	2	6	5	30	3	13	2	14	19	9	6	2	2	3	5	2	2	1	5	1	2	3	6	6	1	6	2	163	10	2	17	6	5	6	3	1	15	10	6	8	160	30	5	13	1	5	5	2	5	2	9	3	2	4	522	2	6	10	14	2	2	3	16	1	8	5	2	2	3	5	2	13	6	9	5	60	1	1	3	1	2	6	2	1	9	6	25	100	2	6	5	4	6	1	6	5	5	1	1	1	2	16	6	6	1	74	2	3	17	6	4	1	1	21	2	8	2	2	5	12	1	1	2	10	2	5	5	6	2	1	21	30	30	2	14	2	2	1	5	7	2	5	4	5	255	2	2	5	2	156
lmo1431	7	162	7	7	7	7	11	2	3	15	50	19	101	3	7	25	3	12	1	26	10	30	24	6	15	4	3	730	2	19	1	42	8	3	1	3	314	13	18	3	7	3	4	6	12	1	10	19	99	5	0	190	50	2	6	82	6	1	6	3	12	6	1	3	13	58	1	7	9	3	4	3	7	4	11	12	2	42	7	73	6	19	1	7	3	6	6	4	397	7	10	2	13	6	7	1	315	6	19	6	128	25	6	162	3	7	7	7	6	1	13	4	12	4	6	42	3	19	2	20	28	13	13	7	7	3	6	2	2	9	6	19	12	3	4	50	1	8	4	12	14	7	26	8	6	13	3	15	23	19	4	11	220	42	6	19	9	6	6	2	6	7	0	3	12	5	3	7	13	14	20	7	12	3	24	1	11	6	4	12	3	6	7	19	8	13	6	211	1	19	3	1	7	13	12	1	13	13	14	99	7	13	6	5	8	1	8	6	6	1	1	1	12	24	8	13	1	19	7	3	26	13	5	1	30	1	2	11	7	2	6	37	1	19	2	19	12	6	6	13	7	1	1	42	42	7	20	7	2	1	6	81	2	6	5	6	18	2	162	6	12	4
lmo1434	23	4	7	7	7	30	11	2	3	83	7	1	175	3	30	21	3	710	1	22	10	32	20	389	14	4	3	12	2	13	1	7	8	3	1	3	2	12	17	3	7	3	4	389	4	1	10	16	564	5	0	64	12	2	389	86	389	1	389	3	2	389	1	3	12	22	1	7	9	3	4	3	7	39	11	4	2	7	23	75	389	1	1	7	3	389	389	39	423	7	10	2	12	389	30	28	4	389	13	389	134	16	389	4	3	7	7	30	389	24	12	4	4	26	389	7	3	1	2	18	16	12	12	23	7	3	389	2	2	9	389	16	4	3	26	7	1	8	4	29	13	7	22	42	389	12	3	1	20	13	26	11	247	7	389	1	9	389	389	2	389	7	12	3	4	5	3	7	12	13	18	7	4	3	20	1	11	389	4	4	3	389	7	1	8	12	389	236	24	16	3	1	23	12	4	1	12	12	40	564	7	12	389	5	8	1	8	389	389	1	1	1	4	20	8	12	1	1	7	3	22	12	5	1	32	28	2	11	7	2	389	3	1	16	2	13	4	389	389	12	7	1	28	7	7	23	18	7	2	1	389	49	2	389	5	389	17	2	4	389	4	39
lmo1435	6	2	6	6	6	6	7	2	3	22	2	5	98	3	6	3	3	2	1	11	8	11	7	5	9	2	3	6	2	7	1	6	2	3	1	3	2	6	7	3	6	3	2	5	2	1	8	3	354	4	0	44	2	2	5	39	5	1	5	3	6	5	1	3	6	138	1	6	7	3	2	3	6	6	7	2	2	6	6	3	5	5	1	6	3	5	5	6	221	6	8	2	6	5	6	13	2	5	7	5	71	3	5	2	3	6	6	6	5	1	6	2	2	2	5	6	3	5	2	7	0	6	6	6	6	3	5	2	2	7	5	3	2	3	2	2	1	6	2	2	7	6	11	2	5	6	3	9	7	7	2	7	3	6	5	5	7	5	5	2	5	6	6	3	2	4	3	6	6	7	7	6	2	3	7	1	7	5	2	2	3	5	6	5	6	6	5	134	1	3	3	1	6	6	2	1	6	6	3	354	6	6	5	4	6	1	6	5	5	1	1	1	2	7	6	6	1	5	6	3	11	6	4	1	11	13	2	7	6	2	5	3	1	3	2	7	2	5	5	6	6	1	13	6	6	6	7	6	2	1	5	8	2	5	4	5	7	2	2	5	2	6
lmo1437	6	11	6	12	6	17	10	2	3	5	12	5	115	3	17	16	3	21	5	5	9	0	5	5	5	2	3	12	2	20	5	17	12	3	5	3	2	12	8	3	6	3	2	5	11	5	9	5	458	4	3	46	2	2	5	59	5	5	5	3	17	5	238	3	12	5	5	6	8	3	2	3	6	28	10	15	2	17	6	53	5	5	5	6	3	5	5	28	5	6	9	2	12	5	17	5	11	5	20	5	74	3	5	11	3	6	6	17	5	5	12	2	15	12	5	17	3	5	2	5	5	12	12	6	6	3	5	2	2	8	5	5	11	3	12	12	5	7	2	12	5	12	5	6	5	12	3	5	5	20	12	10	5	17	5	5	8	5	5	2	5	6	12	3	11	4	3	6	12	5	5	6	15	3	5	5	10	5	2	11	3	5	6	5	7	12	5	163	5	5	3	5	6	12	15	5	12	12	16	458	6	12	5	4	7	1	7	5	5	5	5	238	15	5	7	12	5	5	6	3	5	12	4	5	22	5	2	10	6	2	5	3	5	5	2	20	11	5	5	12	6	1	5	17	17	6	8	6	2	5	5	9	2	5	4	5	8	2	11	5	11	28
lmo1438	2	11	2	4	2	28	13	2	3	1	24	1	139	3	28	1	3	2	1	1	8	29	19	6	15	331	3	12	2	1	1	28	2	3	1	242	2	12	1	3	2	242	4	6	11	1	8	19	667	5	3	169	2	2	6	63	6	1	6	3	4	6	1	3	12	1	1	2	7	242	4	3	2	35	10	11	352	28	2	1	6	1	1	2	3	6	6	35	413	2	8	2	12	6	28	1	11	6	1	6	109	17	6	11	3	2	2	28	6	22	12	4	11	27	6	28	3	1	2	19	1	12	12	2	2	3	6	2	2	7	6	19	11	3	27	24	1	4	4	27	1	4	1	36	6	12	3	15	19	1	27	13	19	28	6	1	7	6	6	2	6	2	12	3	11	5	3	2	12	1	19	2	11	3	19	1	13	6	14	11	3	6	2	1	4	12	6	188	22	19	3	1	2	12	11	1	12	12	1	667	2	12	6	5	4	1	4	6	6	1	1	1	11	19	4	12	1	1	2	3	1	12	9	1	29	1	2	13	2	2	6	34	1	19	2	1	11	6	6	12	2	1	1	28	28	2	1	2	2	1	6	8	2	6	9	6	1	2	11	6	11	35
lmo1439	2	2	2	2	2	2	8	2	3	12	15	12	18	3	2	3	3	2	1	8	7	12	8	166	6	2	3	2	2	1	1	2	10	3	1	3	2	2	1	3	2	3	2	166	2	1	7	8	295	4	3	31	2	2	166	4	166	1	166	3	2	166	1	3	2	8	1	2	6	3	2	3	2	87	8	2	2	2	2	8	166	12	1	2	3	166	166	2	193	2	7	2	2	166	2	8	2	166	1	166	30	166	166	2	3	2	2	2	166	1	2	97	2	15	166	2	3	12	2	1	8	2	2	2	2	3	166	2	2	6	166	8	2	3	15	15	1	2	2	15	1	2	8	2	166	2	3	6	8	1	15	8	1	2	166	12	6	166	166	2	166	2	2	3	2	4	3	2	2	1	1	2	2	3	8	1	8	166	2	2	3	166	2	12	2	2	166	31	1	8	3	1	2	2	2	1	2	2	3	295	2	2	166	4	2	1	2	166	166	1	9	1	2	8	2	2	1	5	2	3	8	2	4	1	12	8	2	8	2	2	166	8	1	8	2	1	2	166	166	2	2	1	8	2	2	2	1	2	2	1	166	7	2	166	4	166	1	2	2	166	2	87
lmo1440	2	2	2	2	2	2	1	2	3	1	31	1	109	3	2	1	3	2	1	1	7	1	12	5	10	2	3	8	2	1	1	2	2	3	1	3	2	8	1	3	2	3	2	5	2	1	7	12	393	4	3	59	2	2	5	127	5	1	5	3	2	5	1	3	8	1	1	2	1	3	2	3	2	136	1	2	2	2	2	20	5	1	1	9	3	5	5	2	1	2	7	2	8	5	2	1	2	5	1	5	88	1	5	2	3	2	2	2	5	1	8	2	2	2	5	2	3	1	2	1	41	8	8	2	9	3	5	2	2	1	5	12	2	3	2	31	1	6	2	2	1	2	1	2	5	8	3	13	12	1	2	1	1	2	5	1	1	5	5	2	5	2	8	3	2	4	3	2	8	1	1	2	2	3	12	1	1	5	2	2	3	5	2	1	6	8	5	38	1	12	3	1	2	8	2	1	8	8	1	393	2	8	5	4	6	1	6	5	5	1	1	1	2	12	6	8	1	1	2	3	1	8	4	1	1	1	2	1	2	2	5	20	1	12	2	1	2	5	5	8	2	1	1	2	2	2	1	2	2	1	5	7	2	5	4	5	12	2	2	5	2	136
lmo1444	5	3	0	3	5	5	7	2	1	1	28	1	102	1	5	10	1	5	1	11	6	1	7	1	1	3	1	8	2	13	1	3	3	1	1	1	2	8	1	1	5	1	3	1	3	1	6	7	458	4	1	129	5	2	1	139	1	1	1	1	36	1	1	1	8	11	1	5	1	1	3	1	5	5	7	3	2	3	5	1	1	1	1	5	1	1	1	5	1	5	6	2	8	1	5	1	3	1	13	1	53	10	1	3	1	5	5	5	1	1	8	3	3	3	1	3	1	1	2	1	1	8	8	5	5	1	1	2	2	1	1	7	3	1	3	28	1	3	3	14	1	3	11	3	1	8	1	1	29	13	3	7	1	3	1	1	1	1	1	2	1	5	8	1	3	4	1	5	8	1	1	5	3	1	7	1	7	1	3	3	1	1	5	1	3	8	1	148	1	7	1	1	5	8	3	1	8	8	10	458	5	8	1	4	3	1	3	1	1	1	1	1	0	7	3	8	1	1	5	1	11	8	4	1	1	1	2	7	5	2	1	1	1	7	2	13	3	1	1	8	5	1	1	3	3	5	1	5	2	1	1	6	2	1	4	1	1	2	3	1	3	5
lmo1446	7	4	7	4	7	19	10	2	3	20	44	3	116	3	19	13	3	30	1	3	9	20	10	6	3	4	3	2	2	3	1	29	4	3	1	3	2	2	45	3	7	3	4	6	4	1	9	10	137	5	3	66	7	2	6	145	6	1	6	3	8	6	1	3	2	3	1	7	3	3	4	3	7	7	10	4	2	29	7	3	6	3	1	7	3	6	6	7	274	7	9	2	2	6	19	3	4	6	3	6	94	13	6	4	3	7	7	19	6	1	2	4	4	17	6	29	3	3	2	3	16	2	2	7	7	3	6	2	2	3	6	10	4	3	17	44	1	8	4	18	3	4	3	28	6	2	3	3	10	3	17	10	3	29	6	3	3	6	6	2	6	7	2	3	11	5	3	7	2	3	3	7	4	3	10	1	10	6	4	4	3	6	7	3	8	2	6	61	1	10	3	1	7	2	4	1	2	2	13	137	7	2	6	5	8	1	8	6	6	1	1	1	4	10	8	2	1	3	7	3	3	2	5	1	20	191	2	10	7	2	6	25	1	10	2	3	4	6	6	2	7	1	3	29	29	7	14	7	2	1	6	9	2	6	5	6	1	2	4	6	4	7
lmo1448	2	4	2	4	2	4	9	2	3	21	37	14	114	3	4	1	3	2	25	18	8	21	9	6	6	4	3	10	2	11	1	4	4	3	1	3	2	10	13	3	2	3	4	6	4	1	8	9	460	5	3	63	2	2	6	144	6	25	6	3	4	6	1	3	10	18	25	2	7	3	4	3	20	2	9	4	2	4	2	1	6	14	25	2	3	6	6	2	277	2	8	2	10	6	4	11	4	6	11	6	89	1	6	4	3	2	2	4	6	1	10	4	4	4	6	4	3	14	2	16	19	10	10	2	2	3	6	2	2	7	6	9	4	3	4	37	25	4	4	4	11	4	18	4	6	10	3	6	9	11	4	9	161	4	6	14	7	6	6	2	6	2	10	3	4	5	3	2	10	11	16	2	4	3	9	1	9	6	4	4	3	6	2	14	4	10	6	152	1	9	3	1	2	10	4	25	10	10	1	460	2	10	6	5	4	1	4	6	6	1	1	1	4	9	4	10	25	28	2	3	18	10	5	1	21	11	2	9	2	2	6	15	1	9	2	11	4	6	6	10	2	1	11	4	4	2	16	2	2	1	6	8	2	6	5	6	13	2	4	6	4	2
lmo1450	6	9	6	10	6	9	1	2	3	1	39	13	127	3	9	3	3	26	1	1	8	1	1	3	1	4	3	10	2	11	1	2	2	3	1	3	2	10	1	3	6	3	4	3	24	1	8	3	537	5	3	42	10	2	3	60	3	1	3	3	18	3	1	3	10	1	1	6	7	3	4	3	6	6	1	9	2	2	6	1	3	13	1	6	3	3	3	6	1	6	8	2	10	3	9	17	9	3	11	3	96	3	3	9	3	6	6	9	3	1	10	4	9	18	3	2	3	13	2	1	1	10	10	6	6	3	3	2	2	7	3	3	9	3	18	39	1	2	4	21	11	10	1	2	3	10	3	1	249	11	18	1	167	2	3	13	7	3	3	2	3	6	10	3	9	5	3	6	10	11	1	6	250	3	1	1	1	3	4	9	3	3	6	13	2	10	3	162	1	3	3	1	6	10	9	1	10	10	3	537	6	10	3	5	2	1	2	3	3	1	1	1	9	1	2	217	1	1	6	3	1	10	5	1	1	17	2	1	6	2	3	1	1	3	2	11	9	3	3	10	6	1	17	2	2	6	1	6	2	1	3	58	2	3	5	3	1	2	9	3	9	6
