Locus	GCF_020616775	GCF_018517125	B537	GCF_013344625	GCF_011193375	GCF_000550745	GCF_906464895	GCF_017280035	GCF_000007785	GCF_017639585	GCF_006494835	GCF_004332015	GCF_001689055	GCF_006766145	GCF_003345275	GCF_906464915	GCF_003030425	GCF_001989555	GCF_003966385	GCF_006494875	GCF_002163735	GCF_005158025	GCF_010103655	GCF_009498175	GCF_009662495	GCF_013344645	GCF_019222705	GCF_001598635	GCF_004332035	GCF_002355755	GCF_003812665	GCF_005979285	GCF_000317915	GCF_002208945	GCF_020616875	GCF_015377745	GCF_000172575	GCF_906464925	GCF_019774535	GCF_906464875	GCF_016743895	GCF_902379005	GCF_901553725	GCF_006364815	GCF_002289045	GCF_000281195	GCF_000391485	GCF_000742975	GCF_019856595	GCF_013344605	GCF_012594215	GCF_014844235	GCF_020616935	GCF_017280235	GCF_006349345	GCF_005484525	GCF_016812095	GCF_003966405	GCF_002814115	GCF_900636775	GCF_906464865	GCF_906464835	GCF_005979305	GCF_013344665	GCF_006494855	GCF_014489455	GCF_018986755	GCF_019195415	GCF_017357805
OG1RFRS02410	8	14	11	9	43	42	10	8	7	23	7	52	58	6	33	8	14	33	8	7	62	8	8	8	18	9	74	30	19	73	33	25	46	8	0	7	1	10	14	8	14	46	8	11	33	11	7	9	43	11	8	31	8	8	148	60	8	8	31	8	25	8	74	7	7	7	0	8	17
OG1RFRS02415	27	8	44	8	6	8	8	7	6	21	6	56	33	74	36	12	8	36	132	6	23	27	7	7	17	8	0	25	82	85	36	46	25	12	27	6	1	8	8	7	8	25	12	44	33	9	6	8	6	9	7	45	79	7	7	68	7	132	32	12	26	27	86	6	6	6	6	7	64
OG1RFRS02420	21	6	10	72	1	6	6	5	2	1	2	40	25	45	28	11	6	28	12	2	2	21	5	5	15	72	2	44	52	36	28	19	20	11	21	1	1	6	6	5	6	20	11	10	25	10	2	6	1	7	5	79	56	5	5	49	5	12	1	11	19	21	45	2	2	2	2	5	2
OG1RFRS02425	15	6	7	6	2	6	6	4	2	1	2	42	1	1	28	11	10	28	12	2	2	15	4	4	16	6	2	21	13	55	78	79	21	11	15	2	1	6	10	4	10	21	11	7	1	7	2	6	2	7	4	68	1	4	4	11	4	12	2	11	1	15	1	2	2	2	2	4	12
OG1RFRS02430	14	6	7	10	1	6	6	5	2	19	2	5	59	59	0	5	10	34	11	2	2	14	5	5	15	10	0	22	83	77	34	5	22	5	14	1	1	6	10	5	10	22	5	7	59	7	2	10	1	7	5	106	139	5	5	197	5	11	1	5	5	14	78	2	2	2	2	5	88
OG1RFRS02435	28	8	9	8	34	47	8	5	2	23	2	28	35	35	40	33	8	40	13	2	2	28	242	257	18	8	0	26	97	92	40	143	26	33	28	31	1	8	8	5	8	26	33	9	35	9	2	8	34	9	5	125	88	5	5	70	5	13	34	9	27	28	93	2	2	2	2	5	103
OG1RFRS02440	29	8	9	8	2	8	8	7	2	71	2	29	38	78	42	13	8	42	15	2	2	29	7	7	19	8	0	60	4	126	42	26	27	13	29	33	1	8	8	7	8	27	13	9	38	9	2	8	2	9	7	309	85	7	7	70	7	15	37	34	26	29	95	2	2	2	2	7	102
OG1RFRS02445	1	1	1	1	9	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	4	1	0	6	2	1	1	5	6	1	1	5	1	1	1	1	1	6	1	1	1	1	2	1	9	1	1	7	1	1	1	10	1	1	9	1	5	1	0	2	2	2	2	1	1
OG1RFRS02450	3	3	3	3	30	3	3	3	2	3	2	3	3	9	2	3	3	2	1	2	2	3	3	3	3	3	2	3	3	3	2	3	3	3	3	2	1	3	3	3	3	3	3	3	3	3	2	3	2	3	3	4	3	3	3	3	3	1	2	3	3	3	3	2	2	2	2	3	3
OG1RFRS02455	7	8	9	8	2	37	8	7	2	22	2	7	9	61	34	7	8	34	13	2	2	7	7	7	17	8	0	25	4	68	34	24	25	7	7	0	1	8	8	7	8	25	7	9	9	9	2	8	2	9	7	26	7	7	7	31	7	13	30	7	24	7	103	2	2	2	2	7	92
OG1RFRS02460	17	8	9	8	31	8	8	27	2	24	2	12	34	63	37	12	8	37	14	2	2	103	7	7	19	8	9	28	4	70	37	26	28	12	17	31	1	8	8	7	8	28	12	9	34	9	2	8	31	9	7	199	12	27	7	35	27	14	33	12	26	17	72	2	2	2	2	7	77
OG1RFRS02465	5	9	5	25	46	44	9	8	7	22	7	6	31	6	38	6	12	38	14	7	2	5	8	8	17	25	5	22	4	16	38	24	22	51	5	13	1	9	12	134	12	22	6	5	31	5	7	25	46	5	8	103	6	8	8	67	8	14	30	28	24	5	81	2	7	7	7	8	108
OG1RFRS02470	17	8	9	12	42	8	8	7	2	23	2	52	34	31	36	13	12	36	15	2	2	17	7	7	19	12	0	56	83	77	36	28	27	47	17	31	1	8	12	7	12	27	13	9	34	9	2	12	42	9	7	101	13	7	7	63	7	15	33	13	28	17	80	2	2	2	2	7	109
OG1RFRS02480	2	2	2	2	2	2	2	2	2	2	2	2	2	2	11	0	2	11	2	2	2	2	2	2	6	2	2	2	2	2	11	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
OG1RFRS02485	1	4	5	4	4	4	4	5	1	17	1	1	27	25	31	1	4	31	8	1	1	1	5	5	13	4	4	21	19	8	31	19	21	1	1	25	1	4	4	5	4	21	1	5	27	5	1	4	4	5	5	62	1	5	5	54	5	8	4	1	19	1	64	1	1	1	1	5	56
OG1RFRS02490	28	9	10	26	41	39	9	8	7	6	7	13	33	6	7	1	9	7	14	7	7	28	8	8	19	26	5	31	0	78	7	25	27	1	28	6	1	9	9	8	9	27	1	10	33	10	7	26	41	10	8	63	62	8	8	57	8	14	32	58	25	28	10	7	7	7	7	8	1
OG1RFRS02495	18	8	9	26	47	45	8	7	2	23	2	54	36	31	2	1	12	2	14	2	2	18	7	7	2	26	0	27	77	74	111	25	27	1	18	31	1	8	12	7	12	27	1	9	36	9	2	26	47	9	7	72	71	7	7	3	7	14	33	1	0	18	75	2	2	2	2	7	68
OG1RFRS02505	1	8	12	8	42	39	8	5	7	20	7	50	7	76	34	1	8	34	13	7	7	1	5	5	16	8	0	27	70	66	34	21	27	1	1	19	1	8	8	5	8	27	1	12	94	12	7	8	42	9	5	79	1	5	5	15	5	13	28	1	0	1	67	7	7	7	7	5	19
OG1RFRS02510	1	109	1	287	46	14	14	5	7	0	7	1	42	75	38	1	11	38	12	7	70	0	5	5	16	287	0	58	92	122	38	23	25	1	1	0	1	14	11	5	11	25	1	1	42	1	7	24	46	1	5	116	1	5	5	66	5	12	0	72	23	1	88	7	7	67	7	0	0
OG1RFRS02515	1	7	6	10	23	7	7	4	6	16	6	1	2	15	4	1	10	4	11	6	6	1	4	4	14	10	11	18	35	34	4	17	18	1	1	15	1	7	10	36	10	18	1	6	2	6	6	10	23	6	4	31	1	4	4	13	4	11	15	1	17	1	15	6	6	6	6	4	15
OG1RFRS02520	12	8	7	11	18	8	8	5	7	19	7	1	31	18	29	12	61	29	13	7	7	12	5	5	16	11	0	7	21	52	29	21	7	12	12	18	1	8	11	5	11	7	12	7	31	7	7	11	18	7	5	51	12	5	5	44	5	13	18	12	21	12	18	7	7	7	7	5	18
OG1RFRS02525	11	8	7	19	12	8	8	5	7	4	7	34	7	31	29	11	8	29	12	7	7	11	5	5	14	19	41	1	18	31	29	18	1	11	11	6	1	8	8	5	8	1	11	7	7	7	7	25	12	7	5	48	11	5	5	26	5	12	23	11	18	11	41	7	7	7	7	5	44
OG1RFRS02530	5	8	5	8	131	8	8	5	7	0	7	32	20	1	27	5	8	27	2	7	7	5	5	5	12	8	0	22	16	54	27	16	17	5	5	20	1	8	8	5	8	17	5	5	20	5	7	8	32	5	5	15	5	5	5	24	5	2	23	5	16	5	56	7	7	7	7	5	40
OG1RFRS02535	5	6	5	6	1	6	6	5	3	10	3	1	3	1	6	5	6	6	6	3	3	5	5	5	4	6	0	3	4	6	6	4	3	5	5	11	1	6	6	5	6	3	5	5	3	5	3	6	1	5	5	1	5	5	5	12	5	6	2	5	4	5	3	3	3	18	3	5	3
OG1RFRS02540	2	7	2	10	1	7	7	6	1	14	1	1	19	1	22	2	10	22	4	1	1	2	74	6	11	10	7	15	4	13	22	4	15	2	2	4	1	7	10	6	10	15	2	2	19	2	1	10	1	2	6	18	2	6	6	4	6	4	18	2	4	2	0	1	1	1	1	6	4
OG1RFRS02545	10	9	10	25	7	9	9	8	7	23	7	53	34	7	39	10	9	39	13	7	7	109	8	8	17	25	0	32	18	73	39	10	26	10	10	78	1	9	9	8	9	26	10	10	34	10	7	25	7	10	8	89	10	8	8	35	8	13	33	10	10	10	74	222	7	7	7	8	0
OG1RFRS02550	12	6	7	6	6	6	6	5	6	16	6	7	20	6	6	7	6	6	10	6	6	12	5	5	6	6	31	18	14	18	6	17	18	7	12	0	1	6	6	5	6	18	7	7	20	7	6	6	6	7	5	42	7	5	5	3	5	10	23	7	17	12	6	6	6	6	6	5	18
OG1RFRS02555	9	8	9	23	42	39	8	5	7	21	7	50	30	41	34	9	8	34	12	7	7	9	5	5	16	23	0	24	17	69	34	17	24	9	9	27	1	8	8	5	8	24	9	9	37	9	7	23	42	9	5	67	9	5	5	31	5	12	29	9	17	9	71	7	7	7	7	5	76
OG1RFRS02565	13	8	9	8	45	8	8	5	24	23	24	51	13	60	13	13	8	13	14	24	7	13	5	5	19	8	53	27	20	66	13	32	27	13	13	14	1	8	8	5	8	27	13	9	13	9	7	8	45	9	5	82	13	5	5	21	5	14	33	13	32	13	67	7	24	24	7	5	9
OG1RFRS02570	13	8	5	8	8	8	8	5	7	11	7	32	11	38	22	11	8	22	8	7	7	0	5	5	14	8	29	1	8	42	22	17	1	11	13	8	1	8	8	5	8	1	11	5	11	5	7	8	8	5	5	53	11	5	5	15	5	8	20	11	17	13	5	7	7	36	7	5	5
OG1RFRS02575	1	12	8	12	13	33	7	5	6	21	6	21	1	12	29	1	12	29	13	6	6	1	5	5	16	12	35	24	17	51	29	23	24	1	1	0	1	7	12	5	12	24	1	8	1	8	6	12	13	8	5	71	1	5	5	44	5	13	27	1	23	1	52	6	6	6	6	5	56
OG1RFRS02580	19	9	10	42	41	9	9	54	7	25	7	53	4	69	35	4	9	35	15	7	7	19	5	5	21	42	0	27	22	97	35	26	27	4	19	29	1	9	9	5	9	27	4	10	4	10	7	9	41	10	5	95	14	54	5	63	54	15	32	68	26	19	4	7	7	7	7	5	23
OG1RFRS02585	19	118	10	14	53	9	9	8	7	26	7	156	10	84	155	39	14	46	16	7	7	19	8	285	21	14	0	32	96	142	46	54	32	39	19	0	1	9	14	8	14	32	39	10	49	10	7	42	53	10	346	3	15	8	8	78	8	16	40	83	54	19	94	7	7	79	7	8	140
OG1RFRS02590	8	9	8	9	162	9	9	8	7	19	7	44	8	1	31	8	9	31	12	7	7	8	8	139	13	9	6	7	14	57	31	8	7	8	8	6	1	9	38	8	38	7	8	8	8	8	7	9	36	0	8	76	11	8	8	3	8	12	26	8	8	8	58	7	7	7	7	8	64
OG1RFRS02595	5	83	5	7	41	7	91	5	2	19	2	47	0	62	56	5	7	56	10	2	2	5	5	5	14	7	8	5	15	67	56	21	5	5	5	8	1	7	7	5	7	5	5	5	30	5	2	0	41	5	5	87	4	5	5	58	5	10	28	5	21	5	68	2	2	2	2	5	8
OG1RFRS02600	1	1	22	1	1	1	1	1	2	11	2	1	2	36	1	1	1	1	1	2	2	1	1	1	7	1	6	1	8	33	1	2	13	1	1	1	1	1	1	1	1	13	1	22	2	1	2	1	1	1	1	1	1	1	1	6	1	1	1	1	2	1	1	2	2	28	2	1	1
OG1RFRS02610	15	6	140	106	45	10	6	5	2	70	2	11	41	76	36	1	10	36	11	2	2	15	5	5	42	106	0	27	137	124	136	26	27	1	15	0	1	0	10	5	10	27	1	140	41	7	2	10	45	7	5	44	7	5	5	67	5	11	32	1	26	15	86	2	2	68	2	5	0
OG1RFRS02615	19	12	9	12	9	12	12	1	7	0	7	15	56	62	39	1	12	39	15	7	2	19	1	1	21	12	14	1	72	102	39	30	1	1	19	34	1	12	12	1	12	1	1	9	1	9	7	12	9	9	1	202	9	1	1	48	1	15	36	1	30	19	101	2	7	7	7	1	77
OG1RFRS02620	9	7	5	7	5	7	7	1	2	19	2	11	29	1	26	1	7	26	11	2	2	9	1	1	15	7	5	14	14	43	26	20	14	1	9	5	1	7	7	1	7	14	1	5	29	5	2	7	5	5	1	6	5	1	1	35	1	11	15	1	20	9	44	2	2	2	2	1	14
OG1RFRS02625	53	8	21	116	54	8	8	7	2	0	2	67	48	1	44	13	12	44	15	2	2	53	7	7	20	116	105	30	101	94	44	149	30	13	53	71	1	8	61	7	61	30	13	21	48	21	2	12	54	9	7	52	88	7	7	258	7	15	38	13	29	53	96	2	2	79	2	7	105
OG1RFRS02630	16	10	7	10	177	44	10	28	8	24	8	55	11	1	38	7	10	38	7	8	8	16	9	9	18	10	61	29	118	83	38	27	29	7	16	32	1	10	10	9	10	29	7	7	11	7	8	10	177	7	9	81	7	28	9	193	28	7	34	7	27	16	86	8	8	68	8	9	61
OG1RFRS02635	52	8	9	27	53	0	8	7	2	23	2	65	10	6	42	6	12	42	167	2	2	52	7	7	18	27	0	35	107	150	42	26	35	6	52	0	1	8	12	7	12	35	6	9	10	9	2	27	53	9	7	372	9	7	7	288	7	167	36	6	0	52	146	86	2	85	2	7	197
OG1RFRS02640	1	8	9	8	1	8	8	7	6	21	6	47	10	1	31	1	0	31	9	6	2	1	7	7	16	8	0	24	1	71	31	22	24	1	1	50	1	8	36	7	36	24	1	9	101	9	6	8	1	9	7	195	65	7	7	56	7	9	23	1	22	1	0	2	6	6	6	7	7
OG1RFRS02645	39	8	9	8	40	8	8	5	2	25	2	4	52	1	46	6	12	46	4	2	2	39	5	5	18	8	0	28	1	86	46	26	28	6	39	31	1	8	8	5	8	28	6	9	10	9	2	8	40	9	5	166	9	5	5	15	5	4	30	6	26	39	69	2	2	2	2	5	73
OG1RFRS02650	15	8	9	8	41	8	8	5	2	22	2	12	10	1	22	6	8	22	12	2	2	15	5	5	17	8	107	25	69	84	22	1	25	6	15	131	1	8	8	5	8	25	6	9	10	9	2	8	41	9	5	170	9	5	5	14	5	12	30	6	1	15	68	2	2	2	0	5	73
OG1RFRS02655	12	1	6	1	35	1	1	2	2	19	2	41	7	1	18	1	8	18	9	2	2	12	2	2	14	1	0	2	29	80	18	36	2	1	12	25	1	1	1	2	1	2	1	6	7	6	2	1	35	6	2	153	6	2	2	11	2	9	27	1	36	12	1	2	2	2	2	2	18
OG1RFRS02660	14	72	9	8	9	8	8	6	2	20	2	42	10	1	10	78	8	10	9	2	2	14	6	6	16	8	0	23	63	82	10	22	23	1	14	28	1	8	8	6	8	23	1	9	89	9	2	8	9	9	6	23	5	6	6	30	6	9	30	1	22	14	62	2	2	2	2	6	10
OG1RFRS02665	13	8	5	8	36	8	8	6	20	19	20	6	9	1	28	6	8	28	5	20	2	13	6	6	15	8	5	23	56	67	28	17	23	6	13	13	1	8	8	6	8	23	6	5	9	5	2	8	36	5	6	35	5	6	6	12	6	5	12	6	17	13	55	2	20	20	2	6	13
OG1RFRS02670	17	10	11	10	38	10	10	8	7	12	7	44	12	1	10	6	10	10	11	7	2	17	8	8	18	10	17	25	30	32	10	15	25	6	17	27	1	10	10	8	10	25	6	11	12	11	7	10	38	11	8	46	11	8	8	16	8	11	16	6	15	17	10	2	7	7	7	8	58
OG1RFRS02675	5	1	5	1	23	1	1	1	2	5	2	5	1	1	5	5	1	5	5	2	2	5	1	1	4	1	5	5	4	44	5	4	5	5	5	5	1	1	1	1	1	5	5	5	1	5	2	1	23	5	1	22	5	1	1	8	1	5	14	5	4	5	5	2	2	2	2	1	5
OG1RFRS02680	79	42	79	5	5	5	5	79	2	14	2	79	1	1	20	79	5	20	79	2	2	79	79	79	8	5	79	79	37	45	20	51	79	79	79	79	1	5	5	79	5	79	79	79	1	79	2	17	5	79	79	27	79	79	79	9	79	79	20	79	8	79	5	2	2	15	2	79	39
OG1RFRS02695	22	9	10	9	22	9	9	5	2	19	2	10	10	9	13	13	12	13	10	2	2	22	7	7	0	9	0	21	47	57	13	1	21	13	22	22	1	9	12	7	12	21	13	10	10	10	2	9	22	10	7	9	10	5	7	41	5	10	24	42	1	22	9	2	2	2	2	7	49
OG1RFRS02700	18	29	10	29	53	29	130	7	2	25	2	150	11	15	43	56	13	43	10	2	2	18	7	7	48	29	335	38	101	97	43	28	51	56	18	0	1	9	29	7	29	51	56	10	11	10	2	29	53	10	7	328	0	7	7	81	7	10	39	14	28	18	98	2	2	2	2	7	171
OG1RFRS02705	14	7	8	7	32	7	7	2	2	19	2	1	9	1	14	11	7	14	8	2	2	14	2	2	16	7	87	15	8	72	14	33	15	11	14	23	1	7	7	2	7	15	11	8	79	8	2	7	32	8	2	142	8	2	2	45	2	8	25	11	33	14	58	2	2	2	2	2	50
OG1RFRS02720	41	9	39	9	42	9	9	7	2	22	2	55	11	75	33	13	9	33	10	2	2	41	7	7	18	9	0	26	85	106	33	25	26	13	41	29	1	9	9	7	9	26	13	39	11	37	2	9	42	10	7	98	10	7	7	24	7	10	31	13	25	41	11	2	2	2	2	7	87
OG1RFRS02725	46	9	10	9	47	9	9	7	2	25	2	58	66	79	37	14	13	37	10	2	72	46	7	7	19	9	0	29	10	120	37	28	29	14	46	0	1	9	9	7	9	29	14	10	11	43	2	9	47	10	7	300	83	7	7	27	7	10	34	14	28	46	90	2	2	2	2	7	118
OG1RFRS02730	42	9	10	25	43	9	9	5	7	22	7	52	42	51	36	6	13	36	10	7	2	97	5	5	19	25	168	26	4	91	36	4	26	6	42	30	1	9	13	5	13	26	6	10	11	20	7	25	0	10	5	28	14	5	5	59	5	10	30	6	4	42	10	60	7	7	7	5	5
OG1RFRS02735	49	10	11	0	50	10	10	8	7	24	7	58	12	103	137	15	14	42	11	7	2	49	8	8	20	0	0	34	98	125	42	4	34	15	49	38	1	10	14	8	14	34	15	11	12	46	7	14	50	11	8	268	38	8	8	71	8	11	35	15	4	49	95	72	7	7	7	8	19
OG1RFRS02740	41	10	11	14	42	10	10	8	7	22	7	49	12	64	34	29	14	34	11	7	2	41	8	8	18	14	104	25	76	51	34	4	25	29	41	64	1	10	14	8	14	25	29	11	12	38	7	14	42	11	8	30	64	8	8	59	8	11	30	6	4	41	34	2	7	61	7	8	44
OG1RFRS02745	42	9	10	9	5	9	9	5	7	21	7	19	31	5	5	10	13	5	10	7	2	42	5	5	17	9	16	5	24	85	5	24	5	10	42	0	1	9	13	5	13	5	10	10	11	39	7	9	5	10	5	29	5	5	5	23	5	10	29	10	24	69	5	2	7	7	7	5	5
OG1RFRS02750	86	8	42	282	26	8	8	5	6	21	6	57	64	75	35	9	8	35	13	6	2	44	5	5	16	282	0	26	93	116	35	24	26	9	44	29	1	8	8	5	8	26	9	42	10	39	6	0	26	9	5	10	80	5	5	0	5	13	9	9	24	86	90	2	6	6	6	5	10
OG1RFRS02755	16	9	10	9	33	9	9	5	7	24	7	58	11	73	39	1	9	39	10	7	2	16	5	5	18	9	0	33	87	119	39	4	33	52	16	16	1	9	9	0	9	33	1	10	132	43	7	9	33	10	5	47	77	5	5	65	5	10	1	1	4	16	61	2	7	7	7	5	50
OG1RFRS13330	10	1	1	0	26	1	1	2	4	16	4	3	6	1	18	1	1	18	6	4	1	10	2	2	12	0	6	6	8	35	18	3	6	1	10	18	1	1	1	2	1	6	1	1	6	23	4	1	26	1	2	37	22	2	2	15	2	6	20	1	3	10	14	1	4	4	4	2	3
OG1RFRS02765	11	7	4	7	25	7	7	4	5	14	5	25	8	40	2	1	7	2	9	5	2	11	4	4	12	7	89	16	13	2	2	2	16	1	11	11	1	7	7	4	7	16	1	4	8	21	5	7	25	4	4	2	1	4	4	2	4	9	19	1	2	11	20	2	5	5	5	4	25
OG1RFRS02770	15	9	6	9	41	9	9	5	7	6	7	47	12	59	33	1	9	33	12	7	2	15	5	5	37	9	69	24	22	67	99	22	24	1	15	27	1	9	9	5	9	24	1	6	10	38	7	9	41	6	5	198	1	5	5	54	5	12	29	1	22	15	69	2	7	7	7	5	47
OG1RFRS02775	5	8	9	8	2	8	8	5	6	18	6	41	5	29	29	1	8	29	5	6	2	5	5	5	13	8	2	22	26	2	29	26	22	1	5	25	1	8	8	5	8	22	1	9	77	32	6	8	2	9	5	136	2	5	5	47	5	5	27	1	26	5	5	2	6	6	6	5	48
OG1RFRS02780	12	9	5	11	17	9	9	5	7	17	7	32	15	36	21	1	11	21	12	7	2	12	5	5	13	11	0	19	12	50	21	12	19	1	12	12	1	9	11	5	11	19	1	5	10	25	7	11	17	5	5	31	2	5	5	3	5	12	22	1	12	12	9	2	7	7	7	5	28
OG1RFRS02785	19	10	5	87	40	10	10	5	7	23	7	49	54	84	33	15	13	33	16	7	2	19	5	5	20	87	0	26	74	97	33	4	26	15	19	29	1	10	13	5	13	26	15	5	11	37	7	13	40	5	5	217	67	5	5	22	5	16	31	15	4	19	71	2	7	7	7	5	43
OG1RFRS02790	28	5	5	43	5	5	5	5	1	1	1	2	5	28	1	1	5	1	5	1	2	28	5	5	12	43	19	19	27	57	1	4	19	1	28	1	1	5	5	5	5	19	1	5	5	27	1	5	5	5	5	28	36	5	5	35	5	5	22	1	4	28	48	2	1	1	1	5	1
OG1RFRS02795	43	8	9	8	45	41	8	5	6	24	6	119	10	70	12	12	99	12	14	6	67	43	183	5	19	8	0	28	81	107	12	46	28	12	43	31	1	8	8	5	8	28	12	9	10	39	6	8	45	9	5	101	74	5	5	56	5	14	33	12	46	43	18	64	6	6	6	5	49
OG1RFRS02800	8	6	8	6	33	6	6	5	6	16	6	38	1	5	28	1	6	28	11	6	22	8	5	5	13	6	0	21	1	67	28	20	21	1	8	24	1	6	6	5	6	21	1	8	1	30	6	6	33	8	5	36	9	5	120	44	5	11	26	1	20	55	56	22	6	45	6	5	8
OG1RFRS02805	15	5	0	5	44	41	5	13	9	20	9	58	0	67	35	3	5	35	11	9	0	0	13	13	17	5	0	25	0	9	35	45	25	50	15	0	1	5	5	13	5	25	3	0	0	39	32	5	44	6	13	382	100	13	13	82	13	11	28	26	45	15	81	0	9	9	9	13	0
OG1RFRS02810	45	8	1	8	272	8	8	5	6	71	6	59	68	77	35	125	8	35	14	6	70	45	5	5	19	8	0	14	95	120	35	48	27	1	45	0	1	8	8	5	8	27	1	1	10	42	6	8	47	9	5	113	94	5	5	33	5	14	32	1	4	45	90	70	6	6	6	5	50
OG1RFRS02820	1	4	4	4	24	4	4	4	5	4	5	4	4	4	15	4	4	15	7	5	2	1	4	4	9	4	4	17	45	42	15	25	17	4	1	0	1	4	31	4	31	17	4	4	4	2	5	4	24	4	4	54	39	4	4	0	4	7	18	4	25	1	44	2	5	5	5	4	4
OG1RFRS02830	4	3	3	3	24	3	3	1	1	3	1	6	3	36	56	4	3	17	6	1	1	4	1	1	10	3	0	14	3	3	68	13	14	4	4	17	1	3	3	1	3	14	4	3	3	3	1	3	24	3	1	3	4	1	1	32	1	6	19	3	13	4	43	1	1	1	1	1	28
OG1RFRS02835	5	2	6	2	33	2	2	1	2	17	2	38	42	46	22	5	2	22	9	2	2	5	1	1	10	2	5	19	6	69	22	18	19	5	5	22	1	2	2	1	2	19	5	6	7	2	2	2	33	6	1	32	49	1	1	43	1	9	24	6	18	5	54	2	2	2	2	1	2
OG1RFRS02840	16	143	10	9	46	9	9	5	8	23	8	55	11	78	41	1	9	41	131	8	2	16	5	5	18	9	0	35	93	117	41	26	28	1	16	0	1	66	9	5	9	28	1	10	11	43	8	9	46	10	5	287	84	5	5	70	5	131	36	10	26	16	88	2	8	8	7	5	116
OG1RFRS02845	10	7	8	10	24	7	7	4	6	9	6	20	8	10	21	1	10	21	10	6	1	10	4	4	9	10	8	16	9	8	21	9	16	1	10	8	1	7	10	4	10	16	1	8	8	9	6	10	24	8	4	39	9	4	4	27	4	10	10	8	9	10	20	1	6	6	6	4	0
OG1RFRS02895	10	2	1	2	1	2	2	4	5	5	5	1	6	5	18	5	2	18	5	5	5	10	4	4	5	2	5	8	1	2	18	16	8	5	10	5	1	2	2	4	2	8	5	1	6	5	5	2	1	1	4	1	8	4	4	2	4	5	2	8	0	10	5	5	5	5	5	4	5
OG1RFRS02900	13	7	3	7	29	7	7	5	6	17	6	23	3	6	6	9	7	6	10	6	6	13	5	5	3	7	6	20	3	24	6	19	20	9	13	6	1	7	7	5	7	20	9	3	3	27	6	7	29	3	5	112	10	5	5	3	5	10	24	3	19	13	42	6	6	6	6	5	2
OG1RFRS13340	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG1RFRS02905	23	7	8	24	5	7	7	5	1	20	1	42	0	1	31	10	7	31	7	1	1	23	5	5	15	24	5	25	8	69	31	23	25	10	23	1	1	7	7	5	7	25	10	8	7	34	1	24	5	8	5	23	7	5	5	48	5	7	0	5	23	23	1	1	1	1	1	5	59
OG1RFRS02910	45	8	1	8	5	8	8	5	7	23	7	29	8	1	37	11	8	37	13	7	7	45	5	5	41	8	78	31	69	82	37	26	31	49	45	0	1	8	8	5	8	31	11	1	8	42	7	8	5	1	5	45	12	5	5	46	5	13	32	29	26	45	68	7	7	7	7	5	12
OG1RFRS02915	36	8	9	8	6	8	8	5	7	0	7	41	10	1	31	62	8	31	6	7	7	36	5	5	17	8	31	22	9	7	31	5	22	6	36	1	1	8	8	5	8	22	6	9	10	33	7	8	6	9	5	36	7	5	5	7	5	6	27	6	5	36	1	7	7	7	7	5	15
OG1RFRS02920	24	8	9	8	2	8	8	7	2	5	2	20	8	43	29	5	8	13	5	2	2	24	7	7	15	8	13	20	20	3	13	21	20	5	24	1	1	8	8	7	8	20	5	9	8	31	2	8	2	9	7	59	5	7	7	34	7	5	26	24	21	24	50	2	2	2	2	7	12
OG1RFRS02925	16	4	1	4	3	4	4	1	3	1	3	0	1	20	1	1	4	1	6	3	3	16	1	1	9	4	1	1	3	14	1	3	1	1	16	1	1	4	4	1	4	1	1	1	1	13	3	4	3	1	1	14	1	1	1	1	1	6	1	1	3	16	1	3	3	3	3	1	1
OG1RFRS02930	50	8	5	8	51	8	8	5	7	25	7	58	9	69	16	5	11	16	13	7	7	50	5	5	18	8	0	37	7	100	16	7	29	5	50	35	1	8	11	5	11	29	5	5	9	47	7	8	51	5	5	49	12	5	5	62	5	13	38	5	7	50	35	7	7	7	7	5	15
OG1RFRS02935	47	104	1	27	192	7	7	1	6	24	6	1	8	1	38	11	107	38	13	6	6	47	203	1	18	27	0	29	6	85	38	6	29	11	47	32	1	295	10	1	10	29	11	1	132	44	6	27	192	1	1	46	79	1	1	67	1	13	35	11	6	47	86	6	6	6	6	1	15
OG1RFRS02945	2	6	1	6	1	6	6	1	5	9	5	1	7	1	2	9	6	2	2	5	5	2	1	1	12	6	2	2	5	10	2	5	2	9	2	19	1	6	6	1	6	2	9	1	7	2	5	6	1	1	1	24	9	1	1	11	1	2	22	9	5	2	13	5	5	5	5	1	2
OG1RFRS02955	0	9	10	9	38	9	9	8	7	20	7	44	2	1	18	12	9	18	2	7	5	37	8	8	16	9	18	23	5	65	18	5	23	12	0	2	1	9	9	8	9	23	12	10	2	17	7	9	38	10	8	182	12	8	8	51	8	2	29	12	5	0	66	5	7	21	7	8	2
